name,urlPlaceholder
car_rental,"""pref1.jpg"",""pref1part2.jpg"""
art_gallery,"""pref2.jpg"",""pref2part2.jpg"""
museum,"""pref3.jpg"",""pref3part2.jpg"""
performing_arts_theater,"""pref4.jpg"",""pref4part2.jpg"""
hiking_area,"""pref5.jpg"",""pref5part2.jpg"""
national_park,"""pref6.jpg"",""pref6part2.jpg"""
night_club,"""pref7.jpg"",""pref7part2.jpg"""
park,"""pref8.jpg"",""pref8part2.jpg"""
tourist_attraction,"""pref9.jpg"",""pref9part2.jpg"""
zoo,"""pref10.jpg"",""pref10part2.jpg"""
american_restaurant,"""pref11.jpg"",""pref11part2.jpg"""
bar,"""pref12.jpg"",""pref12part2.jpg"""
barbecue_restaurant,"""pref13.jpg"",""pref13part2.jpg"""
cafe,"""pref14.jpg"",""pref14part2.jpg"""
chinese_restaurant,"""pref15.jpg"",""pref15part2.jpg"""
coffee_shop,"""pref16.jpg"",""pref16part2.jpg"""
fast_food_restaurant,"""pref17.jpg"",""pref17part2.jpg"""
french_restaurant,"""pref18.jpg"",""pref18part2.jpg"""
greek_restaurant,"""pref19.jpg"",""pref19part2.jpg"""
indian_restaurant,"""pref20.jpg"",""pref20part2.jpg"""
indonesian_restaurant,"""pref21.jpg"",""pref21part2.jpg"""
italian_restaurant,"""pref22.jpg"",""pref22part2.jpg"""
japanese_restaurant,"""pref23.jpg"",""pref23part2.jpg"""
korean_restaurant,"""pref24.jpg"",""pref24part2.jpg"""
lebanese_restaurant,"""pref25.jpg"",""pref25part2.jpg"""
mediterranean_restaurant,"""pref26.jpg"",""pref26part2.jpg"""
mexican_restaurant,"""pref27.jpg"",""pref27part2.jpg"""
middle_eastern_restaurant,"""pref28.jpg"",""pref28part2.jpg"""
restaurant,"""pref29.jpg"",""pref29part2.jpg"""
seafood_restaurant,"""pref30.jpg"",""pref30part2.jpg"""
spanish_restaurant,"""pref31.jpg"",""pref31part2.jpg"""
steak_house,"""pref32.jpg"",""pref32part2.jpg"""
sushi_restaurant,"""pref33.jpg"",""pref33part2.jpg"""
thai_restaurant,"""pref34.jpg"",""pref34part2.jpg"""
turkish_restaurant,"""pref35.jpg"",""pref35part2.jpg"""
vietnamese_restaurant,"""pref36.jpg"",""pref36part2.jpg"""
cottage,"""pref37.jpg"",""pref37part2.jpg"""
guest_house,"""pref38.jpg"",""pref38part2.jpg"""
hostel,"""pref39.jpg"",""pref39part2.jpg"""
hotel,"""pref40.jpg"",""pref40part2.jpg"""
lodging,"""pref41.jpg"",""pref41part2.jpg"""
motel,"""pref42.jpg"",""pref42part2.jpg"""
private_guest_room,"""pref43.jpg"",""pref43part2.jpg"""
resort_hotel,"""pref44.jpg"",""pref44part2.jpg"""
